mapping,num_sets,num_ways,block_size,hit_percent,miss_percent,rep_policy
dm,512,1,8,0.39997777777777777,0.6000222222222222,LRU
dm,256,1,16,0.44997777777777775,0.5500222222222222,LRU
dm,128,1,32,0.4749777777777778,0.5250222222222222,LRU
dm,64,1,64,0.4849777777777778,0.5150222222222223,LRU
fas,256,2,8,0.39997777777777777,0.6000222222222222,FIFO
fas,64,4,16,0.44997777777777775,0.5500222222222222,FIFO
fas,16,8,32,0.4749777777777778,0.5250222222222222,FIFO
fas,4,16,64,0.4849777777777778,0.5150222222222223,FIFO
fas,256,2,8,0.39997777777777777,0.6000222222222222,LRU
fas,64,4,16,0.44997777777777775,0.5500222222222222,LRU
fas,16,8,32,0.4749777777777778,0.5250222222222222,LRU
fas,4,16,64,0.4849777777777778,0.5150222222222223,LRU
fas,256,2,8,0.40275555555555553,0.5972444444444445,RR
fas,64,4,16,0.4534888888888889,0.5465111111111111,RR
fas,16,8,32,0.4782222222222222,0.5217777777777778,RR
fas,4,16,64,0.48886666666666667,0.5111333333333333,RR
fa,1,128,8,0.39997777777777777,0.6000222222222222,FIFO
fa,1,64,16,0.44997777777777775,0.5500222222222222,FIFO
fa,1,32,32,0.4749777777777778,0.5250222222222222,FIFO
fa,1,16,64,0.4849777777777778,0.5150222222222223,FIFO
fa,1,128,8,0.39997777777777777,0.6000222222222222,LRU
fa,1,64,16,0.44997777777777775,0.5500222222222222,LRU
fa,1,32,32,0.4749777777777778,0.5250222222222222,LRU
fa,1,16,64,0.4849777777777778,0.5150222222222223,LRU
fa,1,128,8,0.6314666666666666,0.3685333333333333,RR
fa,1,64,16,0.5063555555555556,0.49364444444444444,RR
fa,1,32,32,0.47904444444444444,0.5209555555555555,RR
fa,1,16,64,0.485,0.515,RR
